"N","age.c","ht.c"
0,0.145938062109053,-0.0424026422820362
2,1.90386696066707,-0.00618724859687325
2,-0.676241599954665,-0.0630072998182127
3,-0.903581207618117,-0.222026938768477
2,0.0187738118693233,0.0423388211429203
3,1.11258034873754,0.0174870706821895
0,0.753744793124497,0.0734475484277242
4,1.07841411884874,0.043328049013575
0,-1.56550375372171,0.0964683137094384
3,-1.53751728497446,0.0667782795134273
3,-0.168913993053138,0.0342222794973341
1,-1.58625194430351,0.00787361589089408
0,0.568256158381701,0.00408176908465041
3,1.32320987340063,0.158904356305517
1,1.64733109436929,0.0146943274783276
2,1.26337868534029,0.177475837915769
2,-0.463656440377235,-0.0299927802973528
2,-1.06828184425831,0.068796597554948
2,-0.450991235673428,0.0101959352226437
1,1.32197810523212,0.0125051129823166
3,1.0471934620291,-0.0380564473787757
0,-1.76702738925815,0.01024865257006
0,-1.62392751220614,-0.0867251854469872
2,0.51723141502589,-0.0433445453043146
7,-0.567138296552002,-0.0601890102757077
2,-0.698770144954324,-0.0987744997340346
2,-1.38994409143925,0.0581374764085674
2,0.86283887270838,-0.169748407273144
1,-1.59526084456593,0.0703245848518119
1,0.74176974594593,0.0726060093100205
3,0.7331128930673,0.140659584772519
4,-0.536425630562007,-0.0687091379373423
1,0.277396762743592,-0.0896497102200712
1,0.138099752366543,-0.145178067349839
2,0.798376135528088,0.00620415309029765
1,-1.43434432987124,0.0173886634688079
3,0.202882749959826,-0.0315687670431819
3,0.62285313475877,0.15026633863808
2,1.2772396877408,-0.0210684903421341
0,1.48280458338559,-0.131593184702187
3,0.396871515549719,-0.0887177609825117
2,-1.60752622131258,-0.087538857001582
3,0.0371672380715609,0.0522295859242412
0,-1.08646080922335,0.130644077091702
1,1.26079474482685,0.250488045460793
2,-0.00253464840352535,-0.0399750037624247
4,-0.92496226914227,-0.0161112840868505
2,1.46910376567394,0.0179312393782169
0,-0.169221072457731,-0.0590940969470953
1,0.847804212942719,0.0245678772179296
5,1.02339405380189,-0.241855496733574
2,-0.309931815601885,-0.206048039322868
1,-0.545775381848216,-0.138788759301704
3,-0.295613864436746,-0.00711580078911767
4,-1.91753896325827,0.032592676658358
4,-0.486050417646766,-0.0431383225592439
1,-0.293516962788999,0.089372333987527
1,1.45706462766975,0.0864690137941753
3,0.0381318368017673,-0.0428507393779055
2,-1.46974497940391,0.0686922469244866
6,1.54554085433483,-0.105106094862101
3,-1.59792360849679,-0.204619848272266
0,-1.17706668935716,0.0360202550010131
1,1.11508128046989,0.0247589256087577
4,0.323055078275502,-0.0515521513545125
2,-0.0878248689696193,0.0565584431555375
0,-1.66679961234331,0.0589218784141738
2,1.22689775377512,0.030267665042824
1,0.420200411230326,0.168674161627123
0,0.515397231094539,-0.0668738404245063
2,1.78223197069019,0.0315449710034867
2,0.944645159877837,-0.0985715018278648
5,0.708801846019924,0.11128948528408
1,-0.820400293916464,-0.11195760062168
2,-1.49500538036227,-0.0181375006181893
4,-0.695474044419825,0.0826835899557818
3,0.146652494557202,-0.00331150862728491
0,-1.62791966367513,-0.0316325281494848
0,1.09039746411145,0.0761198376981211
2,-1.38730364013463,0.0161779105823856
1,1.82927455194294,0.173664260264687
4,0.656451160088181,-0.0154610304253388
2,-0.801735568791628,-0.12482361200133
5,1.49073936790228,0.045531579911064
2,-1.80277229007334,-0.00954338052653014
3,-0.955402997322381,-0.11581037646411
1,-0.7958909785375,0.0249095081168218
1,1.78629477322102,0.0817420752996441
2,0.594161548651755,0.0523375632895438
2,1.47575945407152,-0.0352772409327242
1,1.71626039221883,0.0875681044219578
0,0.49664191622287,-0.021038762303539
2,-0.741100385785103,-0.107136081977378
4,0.352317652665079,-0.075172707651048
1,-1.06790750939399,0.120688327585879
4,-1.03393637482077,-0.162229546395129
3,-0.435376806184649,0.00463978617842242
3,-0.889921677298844,-0.131164477984443
2,1.02062753029168,-0.0157540638508118
2,1.10701577551663,-0.0297445705539987
2,0.318621285259724,-0.194556971851713
0,-1.94598967581987,-0.00242277417271486
3,-0.151141292415559,-0.0934818016487671
1,-1.65836746897548,0.103591390165491
1,-0.974674108438194,0.0451605282244514
3,-1.90656756050885,0.013814054111789
1,1.92844649963081,-0.0701898736716512
3,-1.63330740574747,0.00989887114942745
5,0.201214822940528,-0.149610271122292
1,-1.31037705205381,0.156174932698624
5,-0.794087770394981,-0.035561238310493
0,-0.368777356110513,0.0985481424653101
3,-1.30622424185276,-0.019280039511087
2,-0.938386992551386,0.00478620800833007
2,1.45298094674945,0.0585377213410541
4,0.448118021711707,-0.157642464874783
0,1.4020527806133,-0.0243067545514883
2,-1.78962026163936,-0.0411737117520254
2,-0.160243331454694,-0.0483288608691506
2,-1.34676654171199,0.0425587449020237
2,-1.79109575971961,0.0226871145736287
